CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT
BANANA,DRY,Western Himalayan Region,10-20,NORMAL,6.95
BANANA,DRY,Western Himalayan Region,10-20,SUNNY,8.45
BANANA,DRY,Western Himalayan Region,10-20,WINDY,7.8
BANANA,DRY,Western Himalayan Region,10-20,RAINY,0.1
BANANA,DRY,Western Himalayan Region,20-30,NORMAL,7.95
BANANA,DRY,Western Himalayan Region,20-30,SUNNY,9.45
BANANA,DRY,Western Himalayan Region,20-30,WINDY,8.8
BANANA,DRY,Western Himalayan Region,20-30,RAINY,0.5
BANANA,DRY,Western Himalayan Region,30-40,NORMAL,8.95
BANANA,DRY,Western Himalayan Region,30-40,SUNNY,10.45
BANANA,DRY,Western Himalayan Region,30-40,WINDY,9.9
BANANA,DRY,Western Himalayan Region,30-40,RAINY,0.95
BANANA,DRY,Western Himalayan Region,40-50,NORMAL,9.9
BANANA,DRY,Western Himalayan Region,40-50,SUNNY,11.4
BANANA,DRY,Western Himalayan Region,40-50,WINDY,10.9
BANANA,DRY,Western Himalayan Region,40-50,RAINY,1.9
BANANA,HUMID,Western Himalayan Region,10-20,NORMAL,4.89
BANANA,HUMID,Western Himalayan Region,10-20,SUNNY,6.39
BANANA,HUMID,Western Himalayan Region,10-20,WINDY,5.8
BANANA,HUMID,Western Himalayan Region,10-20,RAINY,0.1
BANANA,HUMID,Western Himalayan Region,20-30,NORMAL,5.6
BANANA,HUMID,Western Himalayan Region,20-30,SUNNY,7.1
BANANA,HUMID,Western Himalayan Region,20-30,WINDY,6.6
BANANA,HUMID,Western Himalayan Region,20-30,RAINY,0.2
BANANA,HUMID,Western Himalayan Region,30-40,NORMAL,6.5
BANANA,HUMID,Western Himalayan Region,30-40,SUNNY,8.1
BANANA,HUMID,Western Himalayan Region,30-40,WINDY,7.5
BANANA,HUMID,Western Himalayan Region,30-40,RAINY,0.5
BANANA,HUMID,Western Himalayan Region,40-50,NORMAL,7.5
BANANA,HUMID,Western Himalayan Region,40-50,SUNNY,9.0
BANANA,HUMID,Western Himalayan Region,40-50,WINDY,8.5
BANANA,HUMID,Western Himalayan Region,40-50,RAINY,0.8
BANANA,WET,Western Himalayan Region,10-20,NORMAL,3.345
BANANA,WET,Western Himalayan Region,10-20,SUNNY,4.85
BANANA,WET,Western Himalayan Region,10-20,WINDY,4.4
BANANA,WET,Western Himalayan Region,10-20,RAINY,0.1
BANANA,WET,Western Himalayan Region,20-30,NORMAL,4.4
BANANA,WET,Western Himalayan Region,20-30,SUNNY,5.9
BANANA,WET,Western Himalayan Region,20-30,WINDY,5.4
BANANA,WET,Western Himalayan Region,20-30,RAINY,0.1
BANANA,WET,Western Himalayan Region,30-40,NORMAL,5.54
BANANA,WET,Western Himalayan Region,30-40,SUNNY,7.04
BANANA,WET,Western Himalayan Region,30-40,WINDY,6.5
BANANA,WET,Western Himalayan Region,30-40,RAINY,0.2
BANANA,WET,Western Himalayan Region,40-50,NORMAL,6.52
BANANA,WET,Western Himalayan Region,40-50,SUNNY,8.02
BANANA,WET,Western Himalayan Region,40-50,WINDY,7.5
BANANA,WET,Western Himalayan Region,40-50,RAINY,0.3
SOYABEAN,DRY,Western Himalayan Region,10-20,NORMAL,5.53
SOYABEAN,DRY,Western Himalayan Region,10-20,SUNNY,7.03
SOYABEAN,DRY,Western Himalayan Region,10-20,WINDY,6.5
SOYABEAN,DRY,Western Himalayan Region,10-20,RAINY,0.1
SOYABEAN,DRY,Western Himalayan Region,20-30,NORMAL,6.5
SOYABEAN,DRY,Western Himalayan Region,20-30,SUNNY,8.0
SOYABEAN,DRY,Western Himalayan Region,20-30,WINDY,7.5
SOYABEAN,DRY,Western Himalayan Region,20-30,RAINY,0.5
SOYABEAN,DRY,Western Himalayan Region,30-40,NORMAL,7.6
SOYABEAN,DRY,Western Himalayan Region,30-40,SUNNY,9.0
SOYABEAN,DRY,Western Himalayan Region,30-40,WINDY,8.6
SOYABEAN,DRY,Western Himalayan Region,30-40,RAINY,0.8
SOYABEAN,DRY,Western Himalayan Region,40-50,NORMAL,8.55
SOYABEAN,DRY,Western Himalayan Region,40-50,SUNNY,10.05
SOYABEAN,DRY,Western Himalayan Region,40-50,WINDY,9.5
SOYABEAN,DRY,Western Himalayan Region,40-50,RAINY,0.55
SOYABEAN,HUMID,Western Himalayan Region,10-20,NORMAL,3.9
SOYABEAN,HUMID,Western Himalayan Region,10-20,SUNNY,5.4
SOYABEAN,HUMID,Western Himalayan Region,10-20,WINDY,4.9
SOYABEAN,HUMID,Western Himalayan Region,10-20,RAINY,0.1
SOYABEAN,HUMID,Western Himalayan Region,20-30,NORMAL,4.9
SOYABEAN,HUMID,Western Himalayan Region,20-30,SUNNY,6.4
SOYABEAN,HUMID,Western Himalayan Region,20-30,WINDY,5.9
